TF	Annotation	x11	x12	x21	x22	estimate	ci1	ci2	pval	padj	log2r
HOXB7	caPeak	37	878	2555	51847	0.855144480873445	0.596628029224133	1.19139293212278	0.386014202372762	0.627593835407078	-0.225759903859596
HOXB7	caPeak-haPeak	28	887	1613	52789	1.03311285872066	0.68026655134588	1.50941650448027	0.843949568125801	0.952316173342588	0.0469978648737489
HOXB7	non-caPeak	850	65	50234	4168	1.08501702763793	0.840659851177616	1.42158336921578	0.572583684413187	0.782237402706015	0.117717683679922
HOXB8	caPeak	38	996	2552	51722	0.773244453095455	0.54257835761079	1.07190300869749	0.136655910741917	0.361377167374948	-0.371003515774741
HOXB8	caPeak-haPeak	30	1004	1611	52663	0.976782253278349	0.653327534096513	1.40893571014583	1	1	-0.0338911060074827
HOXB8	non-caPeak	966	68	50111	4163	1.18017540836792	0.920224909709982	1.53551321536181	0.214474946229218	0.468188248662498	0.239001301939235
HOXB9	caPeak	16	582	2576	52140	0.556438966210555	0.315423133950936	0.913168724859109	0.0189106136944179	0.122276395344489	-0.845704642673766
HOXB9	caPeak-haPeak	23	575	1616	53100	1.31434711108314	0.824025190187023	1.99895575472236	0.222899061346633	0.47733368121176	0.394346332971191
HOXB9	non-caPeak	559	39	50524	4192	1.18925516953892	0.85749019756342	1.69312512555785	0.352581120735203	0.596744666860597	0.250058296523366
HOXC4	caPeak	36	928	2555	51792	0.786365890065264	0.546006437310187	1.09979794706626	0.190304533654795	0.438769272282208	-0.346727351160244
HOXC4	caPeak-haPeak	27	937	1613	52734	0.942065002764435	0.615489867635644	1.38486938204509	0.848099129466203	0.952316173342588	-0.0861014852293196
HOXC4	non-caPeak	901	63	50179	4168	1.18794173652355	0.9175916302994	1.56217641945507	0.199434506088871	0.452549850273212	0.248464079834125
HOXC8	caPeak	17	404	2575	52328	0.8551149369214	0.492424271348822	1.38921284444819	0.642511747677445	0.829414639484501	-0.225809747658337
HOXC8	caPeak-haPeak	11	410	1630	53273	0.876857660162658	0.433407866269993	1.58982388864347	0.773780706111357	0.915117992627209	-0.189585425129522
HOXC8	non-caPeak	393	28	50698	4205	1.16416004251555	0.791760491150503	1.77715312410131	0.518794345612259	0.73671009419566	0.219289405902424
HOXC9	caPeak	18	584	2575	52139	0.624081911776857	0.366653922365147	0.997215784512108	0.0515817711431459	0.219489717916402	-0.68019269727632
HOXC9	caPeak-haPeak	23	579	1616	53098	1.30521799570584	0.818336234770355	1.98494401303832	0.224569968562405	0.480139964887839	0.384290783851477
HOXC9	non-caPeak	561	41	50523	4191	1.13503648073074	0.824498977714976	1.60171052797436	0.487653549160667	0.70991971321928	0.182738667316651
HOXD8	caPeak	38	996	2552	51722	0.773244453095455	0.54257835761079	1.07190300869749	0.136655910741917	0.361377167374948	-0.371003515774741
HOXD8	caPeak-haPeak	30	1004	1611	52663	0.976782253278349	0.653327534096513	1.40893571014583	1	1	-0.0338911060074827
HOXD8	non-caPeak	966	68	50111	4163	1.18017540836792	0.920224909709982	1.53551321536181	0.214474946229218	0.468188248662498	0.239001301939235
HSF1	caPeak	77	1849	2515	50830	0.841653838215072	0.658840147480495	1.06148900916889	0.15363438728585	0.387890558540026	-0.248701102184894
HSF1	caPeak-haPeak	74	1852	1563	51782	1.32375487776065	1.02916709019115	1.68032277200681	0.0237828229693911	0.142057041234211	0.404636000257749
HSF1	non-caPeak	1775	151	49267	4078	0.972994892264451	0.820970030382522	1.16017083484489	0.727220117438543	0.889639428675985	-0.0394958632870279
HSF2	caPeak	86	2036	2507	50647	0.853331206965908	0.677040260658124	1.06340502561562	0.173148853840911	0.416143737135724	-0.228822285460992
HSF2	caPeak-haPeak	88	2034	1547	51607	1.44325040608352	1.14558279354183	1.79878904838685	0.00165855674675565	0.0286908777490718	0.52932163127301
HSF2	non-caPeak	1948	174	49100	4054	0.924334849307951	0.788434574656798	1.08928817639054	0.337937191147714	0.587433744134973	-0.113512518219781
HSF4	caPeak	88	2003	2505	50658	0.888465988985751	0.706687504516736	1.10475163011605	0.316289583453876	0.568503810860528	-0.170611544813204
HSF4	caPeak-haPeak	90	2001	1546	51617	1.50165250818954	1.19475161993204	1.86757694612038	0.000467750709265039	0.0144031872218407	0.586551002790889
HSF4	non-caPeak	1913	178	49112	4051	0.886495015655618	0.757240767265336	1.04300706488493	0.131229729288941	0.35746012149871	-0.173815575336029
IKZF1	caPeak	275	6431	2272	45504	0.856443184773947	0.750914271611202	0.973796258540287	0.0173506170347613	0.116135788393478	-0.223570551746333
IKZF1	caPeak-haPeak	214	6492	1390	46386	1.10006848791973	0.945872021436404	1.27435171627855	0.202997844040951	0.456745149092139	0.137593345664782
IKZF1	non-caPeak	6217	489	44114	3662	1.05540572545724	0.956412514867938	1.16646101111464	0.290602642835833	0.540618324381746	0.0777977151230711
IRF1	caPeak	211	5014	2370	47157	0.83735165774618	0.721713043916832	0.967363097980082	0.014796894555477	0.10949701971053	-0.256094464536672
IRF1	caPeak-haPeak	180	5045	1449	48078	1.18382543176092	1.00552913404921	1.3870834674145	0.039760185632808	0.190849029830212	0.243456355206003
IRF1	non-caPeak	4834	391	45708	3819	1.03297189763636	0.926585555447257	1.15401158674329	0.585049595098638	0.791153361087701	0.0468010057110493
IRF2	caPeak	85	2406	2504	50220	0.708520654995034	0.561767625361619	0.883381222858726	0.0015912016647244	0.0285403706967879	-0.497118183276111
IRF2	caPeak-haPeak	70	2421	1567	51157	0.94392910152458	0.729502309887572	1.20420848207258	0.716637439546428	0.883035216906422	-0.0832495919952725
IRF2	non-caPeak	2336	155	48653	4071	1.26100746736587	1.06783533480293	1.49809405969964	0.00545700993268261	0.0621734814430826	0.334576818964956
IRF3	caPeak	135	3284	2452	49187	0.824615334541335	0.685762178573973	0.984743824267943	0.0332054118166525	0.173249801435864	-0.278206805064445
IRF3	caPeak-haPeak	104	3315	1531	50108	1.02679509368131	0.830999575404888	1.2571906735694	0.79470716608645	0.921182573920875	0.0381483074356425
IRF3	non-caPeak	3180	239	47656	3983	1.11206075688684	0.970724716894385	1.27866154832037	0.126916134218675	0.349281592519165	0.153235611141313
IRF5	caPeak	68	1609	2524	51076	0.855222043254954	0.658659662212751	1.09427711780355	0.240320290361701	0.493230549709993	-0.225629056042288
IRF5	caPeak-haPeak	50	1627	1589	52011	1.00589782929892	0.740151270190209	1.33930939765738	0.941701121520505	0.99314797614039	0.00848377567086357
IRF5	non-caPeak	1559	118	49487	4113	1.09807984482915	0.907564476421922	1.3391147303264	0.351073371699761	0.594948767307991	0.134982961037996
IRF6	caPeak	42	968	2550	51741	0.880376280502729	0.628767156487883	1.20259334560068	0.498327041022602	0.719925833668227	-0.183807818878776
IRF6	caPeak-haPeak	31	979	1609	52682	1.03678896006655	0.698137973932536	1.48740887281195	0.851161189547578	0.953529608475504	0.0521222613154588
IRF6	non-caPeak	937	73	50132	4159	1.06485676489825	0.836642276526157	1.37338663200821	0.675659883553998	0.849838493761969	0.090659384940924
IRF7	caPeak	77	2196	2513	50426	0.703572384601861	0.551141499736617	0.88666412323091	0.00198255520027303	0.0318164280332974	-0.507229237119862
IRF7	caPeak-haPeak	52	2221	1581	51358	0.760550150711866	0.563674801198278	1.00618132643342	0.0575033183867268	0.23201737652918	-0.394884712423717
IRF7	non-caPeak	2144	129	48845	4094	1.39301436732733	1.16225517871026	1.68185697588085	0.000204757656819817	0.00802168232011753	0.478210137741749
